epoch  loss  rmse_e(eV/atom)  rmse_f(eV/A)  rmse_v(eV/atom)  rmse_stress(GPa)  gnorm
332 7.459701e-05 0.000602 0.038532 0.000000 0.0000 0.01
333 7.489853e-05 0.000812 0.038533 0.000000 0.0000 0.01
334 7.539430e-05 0.001075 0.038533 0.000000 0.0000 0.03
335 7.585793e-05 0.001276 0.038531 0.000000 0.0000 0.02
336 7.570997e-05 0.001212 0.038533 0.000000 0.0000 0.02
337 7.724281e-05 0.001730 0.038535 0.000000 0.0000 0.03
338 7.816722e-05 0.001976 0.038539 0.000000 0.0000 0.04
339 7.649530e-05 0.001489 0.038543 0.000000 0.0000 0.03
340 7.558380e-05 0.001144 0.038542 0.000000 0.0000 0.02
341 7.664598e-05 0.001544 0.038538 0.000000 0.0000 0.03
342 7.603561e-05 0.001338 0.038535 0.000000 0.0000 0.02
343 7.523137e-05 0.000993 0.038534 0.000000 0.0000 0.02
344 7.487079e-05 0.000797 0.038532 0.000000 0.0000 0.02
345 7.499209e-05 0.000869 0.038532 0.000000 0.0000 0.01
346 7.551859e-05 0.001133 0.038532 0.000000 0.0000 0.02
347 7.556597e-05 0.001155 0.038531 0.000000 0.0000 0.02
348 7.543118e-05 0.001093 0.038532 0.000000 0.0000 0.03
349 7.496000e-05 0.000855 0.038530 0.000000 0.0000 0.01
350 7.457331e-05 0.000586 0.038530 0.000000 0.0000 0.01
351 7.451306e-05 0.000538 0.038529 0.000000 0.0000 0.01
352 7.492093e-05 0.000834 0.038529 0.000000 0.0000 0.01
353 7.509406e-05 0.000933 0.038529 0.000000 0.0000 0.01
354 7.452374e-05 0.000551 0.038528 0.000000 0.0000 0.01
355 7.545394e-05 0.001113 0.038526 0.000000 0.0000 0.02
356 7.509230e-05 0.000935 0.038528 0.000000 0.0000 0.02
357 7.529370e-05 0.001034 0.038529 0.000000 0.0000 0.02
358 7.522871e-05 0.001000 0.038530 0.000000 0.0000 0.02
359 7.450069e-05 0.000518 0.038531 0.000000 0.0000 0.01
360 7.502194e-05 0.000887 0.038532 0.000000 0.0000 0.02
361 7.502519e-05 0.000889 0.038532 0.000000 0.0000 0.02
362 7.472858e-05 0.000701 0.038532 0.000000 0.0000 0.01
363 7.470296e-05 0.000686 0.038531 0.000000 0.0000 0.01
364 7.448888e-05 0.000500 0.038533 0.000000 0.0000 0.01
365 7.503288e-05 0.000892 0.038533 0.000000 0.0000 0.02
366 7.552114e-05 0.001135 0.038531 0.000000 0.0000 0.02
367 7.506816e-05 0.000914 0.038531 0.000000 0.0000 0.02
368 7.622906e-05 0.001417 0.038528 0.000000 0.0000 0.03
